match_number,url,newspaper_title,publication_date,page_number,location,snippet,screenshot_path
26,https://newscomwc.newspapers.com/image/336659574/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 1 Friday, December 31, 1971Rocky Mount, North Carolina1 of 10 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0026.png
27,https://newscomwc.newspapers.com/image/336655223/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 1 Wednesday, January 5, 1972Rocky Mount, North Carolina1 of 9 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0027.png
28,https://newscomwc.newspapers.com/image/341049285/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Nashville Graphic • Page 5 Thursday, January 6, 1972Nashville, North Carolina1 of 8 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0028.png
29,https://newscomwc.newspapers.com/image/336655597/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 9 Thursday, January 6, 1972Rocky Mount, North Carolina1 of 4 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0029.png
30,https://newscomwc.newspapers.com/image/336656238/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 12 Sunday, January 9, 1972Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0030.png
31,https://newscomwc.newspapers.com/image/336657689/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 11 Friday, January 14, 1972Rocky Mount, North Carolina1 of 6 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0031.png
32,https://newscomwc.newspapers.com/image/336658014/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 4 Sunday, January 16, 1972Rocky Mount, North Carolina1 of 8 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0032.png
33,https://newscomwc.newspapers.com/image/336657970/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 1 Sunday, January 16, 1972Rocky Mount, North Carolina1 of 4 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0033.png
34,https://newscomwc.newspapers.com/image/341049672/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Nashville Graphic • Page 1 Thursday, January 20, 1972Nashville, North Carolina1 of 10 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0034.png
35,https://newscomwc.newspapers.com/image/336659080/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 1 Thursday, January 20, 1972Rocky Mount, North Carolina1 of 8 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0035.png
36,https://newscomwc.newspapers.com/image/336660489/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 9 Tuesday, January 25, 1972Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0036.png
37,https://newscomwc.newspapers.com/image/341049999/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Nashville Graphic • Page 9 Thursday, January 27, 1972Nashville, North Carolina1 of 8 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0037.png
38,https://newscomwc.newspapers.com/image/336661777/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 15 Sunday, January 30, 1972Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0038.png
39,https://newscomwc.newspapers.com/image/340297636/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 6 Thursday, February 10, 1972Rocky Mount, North Carolina1 of 4 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0039.png
